piece	div1_nom	div1_num	div2_nom	div2_num	pos	CHRYSALDE	ARNOLPHE	GEORGETTE	ALAIN	AGNÈS	HORACE	GORGETTE	NOTAIRE	ENRIQUE	ORONTE
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE PREMIÈRE	1	34	1	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	35	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	36	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	37	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	38	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	39	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	40	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	41	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	42	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	43	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	44	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	45	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	46	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	47	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	48	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	49	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	50	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	51	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	52	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	53	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	54	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	55	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	56	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	57	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	58	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	59	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	60	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	61	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	62	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	63	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	64	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	65	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	66	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	67	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	68	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	69	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	70	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	71	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	72	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	73	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	74	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	75	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	76	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE II	2	77	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE III	3	78	0	1	1	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE III	3	79	0	1	1	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE III	3	80	0	1	1	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE III	3	81	0	1	1	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE III	3	82	0	1	1	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE III	3	83	0	1	1	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE IV	4	84	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE IV	4	85	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE IV	4	86	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE IV	4	87	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE IV	4	88	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE IV	4	89	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE IV	4	90	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE IV	4	91	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE IV	4	92	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE V	5	93	0	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	94	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	95	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	96	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	97	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	98	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	99	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	100	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	101	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	102	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	103	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	104	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	105	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	106	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	107	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	108	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	109	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	110	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	111	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	112	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	113	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	114	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	115	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	116	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	117	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	118	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	119	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	120	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	121	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	122	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	123	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	124	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	125	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	126	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	127	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	128	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	129	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	130	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	131	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	132	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	133	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	134	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	135	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	136	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	137	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	138	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	139	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VI	6	140	0	1	0	0	0	1	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE I	1	SCÈNE VII	7	141	0	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE PREMIÈRE	8	142	0	1	0	0	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	143	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	144	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	145	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	146	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	147	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	148	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	149	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	150	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	151	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	152	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE II	9	153	0	1	0	1	0	0	1	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	154	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	155	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	156	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	157	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	158	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	159	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	160	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	161	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	162	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	163	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	164	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	165	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	166	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	167	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	168	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE III	10	169	0	0	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE IV	11	170	0	1	1	1	0	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE V	12	171	0	1	1	1	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	172	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	173	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	174	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	175	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	176	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	177	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	178	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	179	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	180	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	181	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	182	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	183	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	184	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	185	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	186	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	187	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	188	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	189	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	190	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	191	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	192	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	193	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	194	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	195	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	196	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	197	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	198	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	199	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	200	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	201	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	202	0	1	0	0	1	0	0	0	0	0
L'ÉCOLE DES FEMMES, COMÉDIE.	ACTE II	2	SCÈNE VI	13	203	0	1	0	0	1	0	0	0	0	0
